chroma_stft_min,chroma_stft_max,chroma_cqt_min,chroma_cqt_max,chroma_cens_min,chroma_cens_max,melspectogram_min,melspectogram_max,mfcc_min,mfcc_max,rms_min,rms_max,spectral_centroid_min,spectral_centroid_max,spectral_bandwidth_min,spectral_bandwidth_max,spectral_contrast_min,spectral_contrast_max,spectral_flatness_min,spectral_flatness_max,spectral_rolloff_min,spectral_rolloff_max,poly_features_min,poly_features_max,tonnetz_min,tonnetz_max,zero_crossing_rate_min,zero_crossing_rate_max,tempogram_min,tempogram_max,mfcc_min,mfcc_max,mel_to_stft_min,mel_to_stft_max,class,song
0.002362507,1.0,0.037930366,1.0,0.0,0.7283149720008119,1.667017e-08,586.00885,-356.02954,151.45206,0.007760833,0.20077951,1018.6192259591411,4127.111293856262,1488.2950694477745,2876.9097508849472,4.518338772124583,46.538195734097584,0.0005197674,0.13406816,2174.853515625,7461.2548828125,0.07139154530115907,2.191933893756826,-0.4791540315854134,0.5205317062625964,0.03857421875,0.25,-2.9120599399686947e-16,1.0,-25.38316,33.407772,0.0,10.061595,2,Aravindha Padhamalar(Sanjay) (padhamalarsanjay)_shortened.wav
0.0026995782,1.0,0.04556642,1.0,0.0,0.7593147569732028,7.5262185e-11,977.43005,-335.37494,254.50607,0.019122735,0.21682212,676.2337758410199,1408.8060835270885,674.459026375046,1307.1951148562362,3.595037404443511,60.249777456162434,2.6808225e-06,0.0009171225,1227.392578125,2616.2841796875,0.13835815443525243,1.4466114245657018,-0.32253106319959174,0.4273866750299929,0.0224609375,0.1201171875,-4.692796447559134e-16,1.0,-11.061906,18.780472,0.0,11.523597,2,Concord (1)_shortened.wav
0.0014139381,1.0,0.0440789,1.0,0.0,0.6792700980704337,6.4097314e-09,568.6642,-293.80838,198.69958,0.018912468,0.16033594,853.3314838172063,2866.0277558282874,1056.4992016814979,3002.863477721423,3.92086637747406,52.583236743792945,6.359143e-05,0.04049147,1345.8251953125,7418.1884765625,0.1797586199051031,1.5642081399584078,-0.38730854354798855,0.3921605944633481,0.0302734375,0.1455078125,-3.2953259932712603e-16,1.0,-19.549503,23.144491,0.0,10.311871,2,Antakaana Dootharige_shortened.wav
0.0013544171,1.0,0.026659248,1.0,0.0,0.8732351287805045,1.1118594e-08,1504.7566,-259.55872,153.21075,0.01753741,0.34921786,1013.6850678708721,7118.102897617731,1769.9088095822701,3787.2513934809526,5.0007911862622425,55.815757442574345,0.00042359266,0.20446678,1711.8896484375,9700.7080078125,0.1793370057633231,3.1364194019257785,-0.45334797097015095,0.5753145813941954,0.0234375,0.6376953125,-3.177759122571387e-16,1.0,-25.63194,25.046516,0.0,12.819838,2,Anila Tharala (2)_shortened.wav
0.000100947866,1.0,0.013519479,1.0,0.0,0.8284103718845931,1.6934938e-10,948.404,-506.98685,249.32812,0.003452161,0.2551158,514.5001001009878,1691.6008121872553,486.6684423858725,1507.2939745109281,5.0848493322908315,72.59524005371951,3.8652513e-07,0.00017519397,559.86328125,2605.517578125,0.016240825808030754,2.097444070240767,-0.6012544901013251,0.6561807589605448,0.02294921875,0.16748046875,-4.135046511896715e-16,1.0,-15.223845,23.32177,0.0,11.18197,2,Baalondu Nandana (valachi varnam 2)_shortened.wav
0.0012685045,1.0,0.036956336,1.0,0.014740200504822071,0.7292977687534252,4.3298463e-09,303.3322,-365.0707,145.64688,0.008682043,0.14859156,1144.9740370600862,3899.2718184331216,1528.567438773075,3155.6279860370237,5.367347979058224,52.699085541209556,0.00063874206,0.14224975,2325.5859375,7558.154296875,0.07593818121557343,1.8418442026232917,-0.43362522870302234,0.48763573542237265,0.046875,0.228515625,-3.9523185512673295e-16,1.0,-25.741455,38.34059,0.0,8.608891,2,Chandrachuda_shortened.wav
0.0015301863,1.0,0.023018543,1.0,0.0,0.7857840046738189,1.5215633e-08,548.9676,-345.34647,186.80704,0.008039728,0.15964964,634.7182561795623,4384.079897376202,1142.5893432666714,3280.977430986758,4.26564747869401,47.38342024399295,0.00012880756,0.2257989,807.4951171875,8010.3515625,0.0798868589078419,1.2549514405435251,-0.5280330630756304,0.5332408904192204,0.01904296875,0.25732421875,-3.5469972298831903e-16,1.0,-27.958128,27.65125,0.0,9.727345,2,Aarabhi Manam (aarabimaanam madurai r sundar)_shortened.wav
0.00037689405,1.0,0.020152997,1.0,0.0,0.8168886056011505,7.566352e-09,206.61447,-370.14044,155.08392,0.008569095,0.0985381,1009.931129422064,5472.629659664597,1441.106118879736,3289.4767339951622,7.066461715687806,50.040655138453985,9.859158e-05,0.20038307,1948.7548828125,8925.5126953125,0.08102051906751379,0.769931940570528,-0.5820426959544422,0.46638570539653257,0.02294921875,0.34375,-2.7689346280508684e-16,1.0,-13.784601,22.407421,0.0,7.7100058,2,Brochevarevare (swaminatha priya sisters)_shortened.wav
4.8788614e-05,1.0,0.013118709,1.0,0.0,0.7737033055600356,5.4179603e-09,2653.3672,-356.38907,169.32904,0.01819206,0.32709303,786.0113062573889,6235.651421301313,1236.7408324261535,3643.184237281743,6.090783503779887,64.44329169101549,3.4678425e-05,0.15012737,839.794921875,9356.1767578125,0.15510799815394063,2.1718474480583576,-0.5473722051829101,0.5892804982140658,0.02099609375,0.4853515625,-2.549987735505695e-16,1.0,-36.357113,44.25269,0.0,15.017967,2,Dolaloogumu (Sai Bhajan) (sai bhajan)_shortened.wav
0.0014336957,1.0,0.035146985,1.0,0.0,0.8216331001751638,3.390816e-11,1179.2168,-249.5843,130.24992,0.018891972,0.24740589,1156.4406769720933,6256.60591273713,1526.0729716997976,3371.040868410401,4.6596067071420455,63.64752504121562,0.0006672433,0.24957368,2799.31640625,9549.9755859375,0.2087314220684031,3.4850074697205793,-0.5388799163212944,0.48426745459437354,0.03564453125,0.54443359375,-2.893712884354282e-16,1.0,-27.941982,23.537909,0.0,11.826713,2,Bhaja Bhaja Manasa (2)_shortened.wav
